X,Y,Z
-15, -25, 63
-16, -25, 63
-16, -26, 63
-17, -27, 62
-17, -27, 62
-17, -28, 62
-18, -29, 62
-18, -29, 61
-19, -30, 61
-19, -31, 61
-20, -32, 61
-20, -32, 61
-20, -33, 61
-21, -34, 61
-22, -35, 61
-22, -36, 61
-23, -37, 61
-23, -38, 61
-24, -39, 61
-24, -40, 62
-25, -41, 62
-26, -42, 62
-26, -43, 63
-27, -44, 63
-27, -45, 64
-28, -46, 64
-29, -47, 65
-30, -48, 65
-30, -49, 66
-31, -51, 67
-32, -52, 67
-33, -53, 68
-33, -54, 69
-34, -55, 70
-35, -56, 71
-36, -57, 72
-37, -59, 74
-38, -60, 75
-38, -61, 76
-39, -62, 78
-40, -63, 79
-41, -64, 81
-42, -65, 82
-43, -66, 84
-44, -67, 86
-45, -67, 88
-46, -68, 90
-46, -69, 92
-47, -70, 94
-48, -70, 96
-49, -71, 98
-50, -71, 101
-51, -71, 103
-51, -71, 105
-52, -71, 108
-53, -71, 110
-54, -71, 113
-54, -71, 115
-55, -70, 118
-56, -70, 120
-56, -69, 123
-57, -68, 125
-57, -67, 127
-57, -66, 130
-58, -65, 132
-58, -63, 134
-58, -62, 136
-58, -60, 138
-58, -58, 140
-58, -56, 142
-58, -54, 144
-58, -52, 145
-58, -50, 147
-58, -48, 148
-57, -46, 149
-57, -44, 150
-56, -41, 151
-56, -39, 152
-55, -37, 152
-54, -34, 152
-54, -32, 153
-53, -30, 153
-52, -28, 153
-51, -26, 152
-50, -23, 152
-49, -21, 151
-48, -19, 151
-47, -18, 150
-46, -16, 149
-44, -14, 148
-43, -12, 147
-42, -11, 146
-41, -9, 145
-40, -8, 144
-38, -7, 143
-37, -6, 142
-36, -4, 140
-35, -3, 139
-33, -2, 138
-32, -2, 136
-31, -1, 135
-30, 0, 134
-29, 0, 132
-28, 1, 131
-26, 2, 129
-25, 2, 128
-24, 2, 126
-23, 3, 125
-22, 3, 124
-21, 3, 122
-20, 3, 121
-19, 4, 120
-18, 4, 118
-18, 4, 117
-17, 4, 116
-16, 4, 114
-15, 4, 113
-14, 4, 112
-14, 4, 111
-13, 4, 109
-12, 4, 108
-12, 4, 107
-11, 4, 106
-11, 4, 105
-10, 4, 104
-9, 4, 103
-9, 3, 101
-8, 3, 100
-8, 3, 99
-8, 3, 98
-7, 3, 97
-7, 3, 96
-6, 3, 95
-6, 3, 94
-6, 3, 93
-5, 3, 92
-5, 2, 91
-5, 2, 90
-4, 2, 89
-4, 2, 88
-4, 2, 87
-4, 2, 86
-3, 2, 85
-3, 2, 85
-3, 2, 84
-3, 2, 83
-3, 2, 82
-3, 1, 81
-2, 1, 80
-2, 1, 79
-2, 1, 78
-2, 1, 78
-2, 1, 77
-2, 1, 76
-2, 1, 75
-2, 1, 74
-1, 1, 74
-1, 1, 73
-1, 1, 72
-1, 1, 71
-1, 1, 71
-1, 1, 70
-1, 1, 69
-1, 1, 68
-1, 1, 68
-1, 1, 67
-1, 1, 66
-1, 1, 66
-1, 1, 65
-1, 1, 64
0, 1, 64
0, 1, 63
0, 1, 62
0, 1, 62
0, 1, 61
0, 1, 60
0, 1, 60
0, 1, 59
0, 1, 58
0, 1, 58
0, 1, 57
0, 1, 57
0, 1, 56
0, 1, 55
0, 1, 55
0, 1, 54
0, 1, 54
0, 1, 53
0, 1, 53
0, 1, 52
0, 1, 51
0, 1, 51
0, 1, 50
0, 1, 50
0, 1, 49
0, 1, 49
0, 1, 48
0, 1, 48
0, 1, 47
0, 1, 47
1, 1, 46
1, 1, 46
1, 2, 45
1, 2, 45
1, 2, 44
1, 2, 44
1, 2, 43
1, 2, 43
1, 2, 43
1, 2, 42
1, 2, 42
1, 2, 41
1, 2, 41
